date, pm25, pm10, no2
2022/7/15, 46, 20, 19
2022/7/16, 39, 16, 20
2022/7/17, 28, 14, 13
2022/7/18, 43, 23, 22
2022/7/19, 61, 40, 19
2022/7/20, 64, 25, 11
2022/7/21, 60, 25, 18
2022/7/22, 53, 20, 15
2022/7/23, 61, 26, 20
2022/7/24, 39, 13, 11
2022/7/25, 32, 16, 12
2022/7/26, 26, 17, 17
2022/7/27, 29, 12, 14
2022/7/29, 51, 30, 31
2022/7/30, 42, 17, 21
2022/7/31, 20, 9, 8
2022/8/1, 37, 15, 15
2022/8/2, 33, 16, 15
2022/8/3, 38, 22, 14
2022/8/4, 33, 18, 15
2022/8/5, 34, 25, 18
2022/8/6, 32, 14, 19
2022/8/7, 32, 14, 16
2022/8/8, 43, 23, 20
2022/8/9, 42, 24, 20
2022/8/10, 45, 26, 21
2022/8/11, 57, 32, 26
2022/8/12, 56, 29, 29
2022/8/13, 51, 24, 23
2022/8/14, 35, 14, 15
2022/8/15, 44, 15, 7
2022/8/16, 56, 22, 12
2022/8/17, 46, 16, 18
2022/8/18, 51, 19, 17
2022/8/19, 28, 12, 12
2022/8/20, 34, 16, 13
2022/8/21, 38, 15, 13
2022/8/22, 32, 15, 13
2022/8/23, 24, 10, 11
2022/8/24, 29, 12, 9
2022/8/25, 38, 18, 20
2022/8/26, 42, 19, 18
2022/8/27, 42, 16, 20
2022/8/28, 31, 15, 16
2022/8/29, 33, 21, 22
2022/8/30, 46, 27, 25
2022/8/31, 44, 24, 23
2022/9/1, 40, 21, 23
2022/9/2, 42, 16, 17
2022/9/3, 38, 13, 13
2022/9/4, 34, 12, 11
2022/9/5, 38, 16, 17
2022/9/6, 27, 12, 9
2022/9/7, 27, 10, 5
2022/9/8, 19, 8, 4
2022/9/9, 28, 10, 9
2022/9/10, 36, 13, 15
2022/9/11, 41, 12, 10
2022/9/12, 38, 14, 17
2022/9/13, 41, 16, 22
2022/9/14, 49, 17, 14
2022/9/15, 50, 20, 19
2022/9/16, 42, 19, 23
2022/9/17, 32, 14, 20
2022/9/18, 36, 14, 18
2022/9/19, 35, 17, 20
2022/9/20, 40, 16, 21
2022/9/21, 43, 21, 23
2022/9/22, 50, 22, 21
2022/9/23, 59, 24, 21
2022/9/24, 45, 15, 18
2022/9/25, 28, 12, 16
2022/9/26, 26, 10, 10
2022/9/27, 29, 15, 17
2022/9/28, 35, 17, 23
2024/11/10, , 24, 14
2024/11/12, , 30, 19
2024/9/8, , 19, 10
2024/4/26, , 9, 9
2024/4/27, , 7, 5
2024/4/28, , 9, 9
2023/10/15, , 11, 16
2023/6/18, , 16, 4
2023/6/19, , 15, 6
2022/10/2, , 26, 16
2022/11/7, , 10, 2
2022/11/8, , 14, 2
2022/11/9, , 14, 8
2022/11/10, , 12, 9
2022/11/11, , 20, 7
2022/11/12, , 19, 13
2022/7/1, , 10, 13
2022/7/2, , 11, 13
2022/7/3, , 10, 13
2022/7/4, , 19, 17
2022/7/5, , 26, 17
2022/7/6, , 22, 19
2022/4/1, , 15, 23
2022/4/2, , 29, 25
2022/4/3, , 24, 18
2022/4/4, , 22, 16
2022/4/5, , 21, 5
2022/4/6, , 10, 8
2022/4/7, , 12, 21
2022/4/8, , 12, 25
2022/4/9, , 13, 16
2022/4/10, , 18, 9
2022/4/11, , 11, 10
2022/4/12, , 15, 16
2022/4/13, , 18, 24
2022/4/14, , 25, 27
2022/4/15, , 22, 23
2022/4/16, , 25, 15
2022/4/17, , 12, 22
2022/4/18, , 19, 23
